date,clock_in,clock_out,break,sum
2025/07/01,"2025-07-01 09:00:00","2025-07-01 19:00:00",02:00,08:00
2025/07/02,"2025-07-02 09:00:00","2025-07-02 19:00:00",02:00,08:00
2025/07/03,"2025-07-03 09:00:00","2025-07-03 19:00:00",02:00,08:00
2025/07/04,"2025-07-04 09:00:00","2025-07-04 19:00:00",02:00,08:00
2025/07/05,"2025-07-05 09:00:00","2025-07-05 19:00:00",02:00,08:00
2025/07/06,"2025-07-06 09:00:00","2025-07-06 19:00:00",02:00,08:00
2025/07/07,"2025-07-07 09:00:00","2025-07-07 19:00:00",02:00,08:00
2025/07/08,"2025-07-08 09:00:00","2025-07-08 19:00:00",02:00,08:00
2025/07/09,"2025-07-09 09:00:00","2025-07-09 19:00:00",02:00,08:00
2025/07/10,"2025-07-10 09:00:00","2025-07-10 19:00:00",02:00,08:00
2025/07/11,"2025-07-11 09:00:00","2025-07-11 19:00:00",02:00,08:00
2025/07/12,"2025-07-12 09:00:00","2025-07-12 19:00:00",02:00,08:00
2025/07/13,"2025-07-13 09:00:00","2025-07-13 19:00:00",02:00,08:00
2025/07/14,"2025-07-14 09:00:00","2025-07-14 19:00:00",02:00,08:00
2025/07/15,"2025-07-15 09:00:00","2025-07-15 19:00:00",02:00,08:00
2025/07/16,"2025-07-16 09:00:00","2025-07-16 19:00:00",02:00,08:00
2025/07/17,"2025-07-17 09:00:00","2025-07-17 19:00:00",02:00,08:00
2025/07/18,"2025-07-18 09:00:00","2025-07-18 19:00:00",02:00,08:00
2025/07/19,"2025-07-19 09:00:00","2025-07-19 19:00:00",02:00,08:00
2025/07/20,"2025-07-20 09:00:00","2025-07-20 19:00:00",02:00,08:00
2025/07/21,"2025-07-21 09:00:00","2025-07-21 19:00:00",02:00,08:00
2025/07/22,"2025-07-22 09:00:00","2025-07-22 19:00:00",02:00,08:00
2025/07/23,"2025-07-23 09:00:00","2025-07-23 19:00:00",02:00,08:00
2025/07/24,"2025-07-24 09:00:00","2025-07-24 19:00:00",02:00,08:00
2025/07/25,"2025-07-25 09:00:00","2025-07-25 19:00:00",02:00,08:00
2025/07/26,"2025-07-26 09:00:00","2025-07-26 19:00:00",02:00,08:00
2025/07/27,"2025-07-27 09:00:00","2025-07-27 19:00:00",02:00,08:00
2025/07/28,"2025-07-28 09:00:00","2025-07-28 19:00:00",02:00,08:00
2025/07/29,"2025-07-29 09:00:00","2025-07-29 19:00:00",02:00,08:00
2025/07/30,"2025-07-30 09:00:00","2025-07-30 19:00:00",02:00,08:00
2025/07/31,"2025-07-31 09:00:00","2025-07-31 19:00:00",02:00,08:00
